Amount,Merchant Category Code (MCC),Card_Type,Class,Transaction_Type
-1.523278472023149,3590,0,1,0
-0.49550056036192486,7277,1,1,0
0.9941585837263068,9297,2,1,1
-1.460871960410184,5686,2,0,1
-0.5575142748059477,2940,0,1,0
0.5827276683839412,9661,1,1,1
-0.8849761813139514,8036,0,0,1
-0.9501805113583282,5678,2,0,0
-1.4527954993224639,5772,2,0,1
1.3907596831465097,8521,2,1,1
-0.47627417261897287,2861,1,1,1
-0.10361302696902597,9217,1,0,0
-1.40798216617106,7385,2,1,0
0.02894568078130474,8648,2,0,1
1.4309490355898418,3001,0,0,1
1.1548608640724134,2162,2,1,1
-1.0016782875601487,1654,2,1,1
-1.0949366048810691,8544,0,0,1
0.5864075576508718,9263,0,1,1
1.046269674805949,3962,0,0,1
0.3275542233180755,5122,0,0,1
-1.2004612197584248,1551,2,0,0
-1.669447257118401,4751,0,1,0
0.3514735035531243,1046,1,0,1
-1.1409972413233238,9491,0,0,1
1.495264403620297,4830,2,0,0
0.29302252834318976,3197,2,1,1
1.261315788034105,1655,0,1,0
-0.7222272209823047,6818,1,1,1
-0.011002480417939903,8174,2,1,1
-1.0840140871131196,2954,0,0,1
0.08104298950414204,7166,1,0,0
1.398091896966761,9106,1,0,0
1.359466842020795,2539,0,1,0
-1.4578398419130876,8801,0,0,0
-0.9948215650496695,1777,1,0,1
0.7835779541029647,8190,1,1,0
-1.63697602448586,1946,1,1,0
-1.1209852592424878,1455,0,1,1
-1.1366764724649614,3102,1,1,1
1.3340797407860152,1880,2,1,1
1.5884193532651794,2558,2,1,0
-1.416203342005233,2091,0,0,0
-1.0160601768861488,6541,2,0,0
-0.29103240598159297,2280,2,1,1
-0.7882447100781753,7971,2,1,0
-1.6602544251294769,7587,1,1,0
-1.5354758577955594,6762,1,0,0
-0.30142430301255074,3507,2,1,1
0.6481042778883803,9592,1,1,0
-1.35407936870677,8084,0,1,1
-1.4787063301158327,1378,0,0,1
-0.6214437368458634,3271,0,0,0
-0.45084572431377856,7267,2,0,0
-1.5617174651522479,7258,1,1,1
0.865803494801496,5382,1,0,1
-1.0011752315367668,4931,1,0,0
-1.407279265974006,8373,2,1,0
-1.0885829383939718,9420,2,0,1
0.2598001572647772,9303,1,1,1
0.7493081239073734,6935,2,0,1
1.0764530362088627,7695,1,1,1
-1.3713555529618169,3729,0,0,1
1.7208195639122528,5307,2,1,0
0.09961471529885708,5000,2,1,0
0.21699215702849842,8161,2,0,1
-0.4320810455237936,9545,2,0,1
-1.5862362779083135,6816,2,1,1
0.09975943004530943,3533,2,1,1
0.2648996292826211,5238,0,0,0
0.6673375568097346,8953,2,1,0
1.1070429771375232,8007,1,1,1
1.6397517411853406,5347,2,1,0
1.5792747595250733,6641,2,1,1
0.6281198605211543,1899,0,0,0
-1.5130933103442663,1240,1,0,1
-0.9749474065368834,6113,2,0,1
0.5226641574278235,3058,2,1,1
-0.5102270086080496,3385,2,1,0
-0.716610910584274,4097,0,0,1
-0.7653315418898904,3865,0,1,1
0.7569848966477494,5109,2,1,1
0.4544897294919731,6765,1,0,1
-1.6072199161439005,3446,2,1,1
1.150223101007536,3044,0,1,1
0.22572328006445547,9857,0,0,1
-0.7976511685975766,8926,0,0,1
0.8445166447161991,8844,2,1,1
1.1371712091132171,8041,1,0,1
0.013213120488416207,2703,0,0,0
1.0968784889938483,2206,1,1,1
-1.641786067010799,6622,0,1,1
0.8044030952352949,3755,2,0,0
-1.3879288370198093,4739,2,1,0
-0.8174495241479351,8680,1,1,0
-0.1331210528884956,7096,0,1,1
0.6324888676283339,2057,1,0,0
-1.0591093683665147,1272,1,1,1
1.3701964067934742,6957,2,0,0
-1.4037096355615155,4103,0,1,0
-1.4411700813574602,3852,0,1,0
1.415044195836891,3582,1,1,0
-0.26983514121552865,1988,0,0,0
-0.5087178405379038,2818,0,1,1
0.25155830789539707,4422,1,0,0
1.2152964986622656,1826,0,0,0
1.6940955740673902,1739,0,0,0
-1.1895662667040854,3020,2,0,0
-1.4620572430954129,6644,0,1,1
0.4200820757283317,7323,0,0,1
1.4259942783184498,2452,1,1,1
-0.8722826306965618,1625,1,0,0
0.11318344557336331,4007,0,0,1
-0.3074265194011211,4823,2,0,0
-1.182668197123191,7820,2,0,0
1.484548621204422,4597,2,0,0
1.235329154278309,4861,1,0,0
0.002917699955093548,5608,1,0,0
1.51709565679939,3586,2,0,1
-1.6804593602055826,5247,1,1,0
-0.09303506812120124,1898,0,0,1
1.061264879009771,1407,2,0,0
0.7326521457085512,7235,2,1,0
1.688520610739774,3263,2,0,1
1.3092439338234352,5169,2,1,0
-0.6320079133368831,5207,2,1,0
-0.7542643093754887,1524,0,0,1
0.6517152553712858,3743,2,0,1
-0.18872597141820127,4908,0,1,0
0.6378088573550577,5264,2,1,0
1.193382551342342,6862,2,0,1
0.9718794039510508,4874,2,1,0
-1.0837315487986174,9751,0,0,0
1.1713583451679783,7809,0,0,0
0.3661103664800168,7303,1,1,1
0.262039790245587,5231,1,0,0
-1.6277900836753385,5315,1,0,0
1.6528587625068796,3905,0,0,1
-0.1013802851666188,7505,2,0,1
0.6338808856656372,5216,0,1,0
1.495443574258761,1064,1,0,1
-0.8155062118384325,8978,0,1,1
-0.06147347103778907,5097,1,0,1
0.880392119479571,2886,0,1,1
1.10543044139134,1932,1,0,1
1.1641363902021673,6379,1,0,1
1.4612013087767801,6331,1,1,0
-0.7228405358601264,6945,1,1,1
0.21226480864438932,2008,2,0,1
-0.8113715047969374,9206,1,1,1
1.0326802709962353,5379,0,1,0
1.6376292582373733,9460,2,0,1
0.9085150185401396,7854,0,0,1
-0.5180760608084877,2316,1,1,0
1.2321661033915656,3707,0,0,1
1.6774602694037748,8748,2,1,1
0.4294058401069032,5724,0,1,0
-1.6653538971473207,6791,1,1,1
0.23783797169603585,9488,2,0,0
-1.6108171112700014,7550,2,0,1
-1.4931157841554428,2594,0,1,1
1.563845411081894,2470,2,0,1
0.38845156686089505,2814,0,0,1
-1.4383515893908412,9453,1,1,0
0.0894502271551818,6568,2,0,1
-1.1958372390503527,4550,2,1,1
1.4337882010916683,2781,1,0,1
1.6641671862653684,6807,0,1,1
-1.1414382767410831,6137,0,0,0
-1.5020467513650722,9611,2,1,0
-0.47397251903254073,3560,0,1,0
-1.5872630634902845,1689,2,1,0
1.7153617506174794,7905,1,0,1
0.3972516016808769,2878,1,1,0
-0.1960444028816474,7781,0,1,1
1.4847140094860818,1814,1,1,0
-0.831755610511508,5082,1,1,1
-1.4472618830652628,5555,1,1,1
0.780986871023628,5328,0,1,1
-0.6809697358865867,2898,0,1,0
1.235191330710259,8444,0,1,1
0.9194719922001016,2813,1,0,1
-1.2007851051433418,1829,0,0,1
-0.7179753639079672,2644,2,1,1
-1.1677350135249913,5530,2,1,0
1.4810823584679689,8651,1,0,1
-1.5574656080779106,9728,0,1,0
-0.20374874033563303,9079,0,1,1
-0.8005385723482205,7763,0,0,1
0.38094018240217903,3370,1,1,0
0.7632627601724191,6745,1,1,0
0.7732480776776298,1349,0,0,0
1.4093107354060173,6549,2,0,0
0.855528747803381,4840,2,0,1
-1.406927815875479,9641,2,1,1
-0.484516021988353,6521,1,0,0
-0.4036893905055277,1948,1,0,1
-1.056228855794273,8770,1,1,0
-0.09402050663275745,5818,1,0,0
0.747826520550838,4324,1,0,0
-0.033770933859772506,3146,0,0,1
1.7152928388334547,9824,0,1,0
0.3635399569358874,5368,2,0,1
1.5760290144974995,6917,2,1,1
-1.719091306329951,3662,2,1,1
-0.8576871148400843,1575,1,0,1
-1.6799080659333832,7775,1,0,1
-0.9816180672304953,9142,0,1,1
-0.800166448714486,4902,0,0,0
-0.4734212247603414,2161,0,1,1
-0.3365555305084534,6462,2,1,1
0.5105908128666581,6025,2,1,0
-1.2293283660864625,2511,1,1,0
0.39877455210782764,5535,1,1,0
-0.6802944004031426,4066,2,1,1
0.0996767359044796,4622,1,0,1
-0.1279319955514192,8592,2,0,0
-0.5338775328854011,1610,0,1,0
-0.4781347907876457,1365,0,1,1
-1.0085281188922255,9816,0,1,0
1.049212207983813,9499,0,1,1
1.5435715642217633,9472,0,0,1
1.6079007146090238,1056,1,0,0
0.6578277306142959,2695,0,0,0
-0.5737361087654133,7532,1,1,0
-0.2278609735659517,8038,2,0,1
-0.8987929940109475,3133,1,1,1
0.046573315134878494,7355,0,0,1
0.894071108608517,6587,2,0,1
-1.1914062113375505,7746,2,0,1
-1.0516531133350187,5263,1,0,0
0.39756170470898894,3238,1,0,0
0.3178790088409772,9375,0,1,0
0.203657726819677,9785,1,0,0
-1.5659210839777677,9814,0,1,0
1.5211752344136653,7734,1,1,1
1.1322577989122404,3421,2,1,1
-0.6227186048503243,5382,2,1,1
-0.04204723912116489,5158,0,0,0
-1.2890817740144682,7767,1,1,0
-0.7702311697340619,3516,0,0,0
-0.36664241541373227,3500,0,1,0
0.013626591192565648,1240,0,1,0
-0.3018377737167002,5829,1,0,0
-0.6294581773279612,9667,0,1,0
1.7068097982199872,3917,2,0,0
0.7272425706625949,7939,1,0,1
0.2509932312663926,4126,2,1,0
1.4556401278059694,5807,2,0,0
0.1520014535145991,3492,2,1,0
0.12460901936469453,8625,1,0,1
-1.146282775158035,2321,1,1,1
1.4892346225181166,5065,2,1,1
0.837074172041508,2523,1,0,0
-1.6116302703214953,3408,0,0,1
-1.5704968264370223,2150,1,1,1
-0.12632635098363867,6890,2,1,0
1.6960457775552953,5196,1,1,0
-0.19721590321007088,1330,0,0,1
0.8589329899342119,9604,2,0,1
-0.37824715984352825,4924,1,1,0
1.6831730562994405,5185,2,0,1
-1.5318097508854338,9983,2,1,1
-0.4672398377333063,1832,1,0,0
-0.14859174840208939,7712,0,1,1
-0.7000789735966962,1789,2,1,0
-1.1678590547362364,3424,1,0,0
-1.7121725632138494,3713,0,1,0
-0.38005953976338364,4891,1,0,1
1.3258447825950377,6526,2,1,1
-1.4860798910064987,6956,2,0,1
1.1487139329373908,3549,0,0,1
0.9397113831682196,7694,2,1,1
1.1181515567223397,4447,2,0,0
-0.7093958467968651,6625,1,0,0
-0.7076730521962421,4923,2,0,1
-0.3313802555281821,8763,1,0,1
1.0422176619052839,4965,1,0,1
1.4235203452719551,7958,1,0,0
-1.5732946448684337,3194,2,1,0
0.5125272339977581,9870,0,0,0
-0.17137398420072694,3945,0,0,0
1.133319040386224,5309,1,0,0
0.6029946240656695,6319,0,1,0
0.974236186964703,8013,0,0,1
-0.6468446204374478,2322,0,0,1
1.6261623373756269,7214,2,1,1
-1.4208411050701095,9046,2,1,1
-1.4540359114349122,2837,2,0,0
0.6707417989405655,6539,2,1,0
0.6727746965693004,1816,2,0,1
-0.2892062437049329,6549,1,0,1
-0.49334362152194483,5988,1,0,0
1.0602794404982148,7096,2,1,1
0.8335321063426273,6581,2,0,0
-0.41320610787936873,9892,0,1,1
-1.101552136147461,1848,0,1,0
1.0052189250623058,4644,2,0,0
0.17848425211537494,5253,2,0,0
1.4391357555320012,7240,2,1,0
1.1435386579571194,2778,1,0,0
0.9211396573735046,7497,0,1,0
1.6717819384001218,1829,2,1,1
0.6739048498273094,6446,2,1,1
-0.20685666179515694,7745,0,0,1
0.9836977749113242,4774,1,0,0
-1.3779917577634162,7402,0,0,0
-0.7663790010070691,7309,2,0,0
0.06845969774119202,3735,1,1,0
-0.883790898628723,1512,0,1,1
-0.42319831656298174,9850,0,0,0
-0.458729232406229,6503,2,1,0
-1.4199934901266034,5062,2,0,1
-0.1175332073420591,8878,1,0,0
1.7083947692525605,2900,0,0,0
0.0024973380725414654,7198,0,1,1
-1.7039169314876643,4782,2,1,1
0.1595128379733151,2657,2,1,0
1.4288747908906916,7815,1,0,1
0.7010216368411142,1400,0,0,1
-0.8948305664295148,9623,0,0,0
0.3083622914671362,9093,1,1,0
1.2075301406026577,9633,1,1,1
0.0987464268201433,2392,0,0,1
0.35588385773071907,9743,0,0,1
0.17924228173964898,1344,2,1,0
0.22241551443125962,1233,0,0,1
-1.6293337076374965,6249,0,1,1
-1.5725159417089525,5695,0,1,0
-0.3673866626812013,8996,0,1,1
0.9619078688026454,8702,1,1,1
-0.9072002316619873,3333,2,0,1
-0.5033289390271554,8759,0,0,0
-0.061301191577726774,5759,0,1,1
1.4653842540670923,9276,0,0,1
0.2879161651469432,9855,0,1,1
0.8015363650198581,5799,1,0,1
0.22677763036003684,1148,0,1,1
0.4788293716095736,3096,0,0,0
0.30952690061715726,3571,2,0,1
1.4885937429266847,7858,1,1,0
0.912022628347008,1008,2,0,0
0.8976269566642026,3928,1,0,1
-1.0683573297826585,4015,0,0,0
-1.159486272977209,9410,2,1,1
0.901920160808955,4642,1,1,0
-1.4567717092607015,8691,0,1,1
-1.4683557801552902,7544,2,0,1
0.8688218309417874,1902,1,1,0
-1.1305639972219512,6682,1,1,1
1.3632707724989706,4638,2,1,0
-0.5921700109920786,6394,1,0,0
0.5648450604294754,5717,0,0,1
1.0547044771705987,7310,2,1,1
-0.39654323850214374,7153,1,0,1
-1.2142366853850055,3411,2,1,0
1.2289617054344066,8202,1,0,1
-1.6100659728241298,8328,2,1,1
0.32088356262446366,2056,2,1,1
1.4955469419347989,2655,2,1,1
1.3306134780495622,2783,2,1,1
1.4787738137031339,5183,1,0,1
-1.4656268735079034,8001,0,0,1
1.2297817556643036,3392,0,0,1
1.571343013183805,4735,1,0,0
0.8108876941120394,6776,0,0,1
-1.495782670197207,9063,2,0,0
-0.008273573770553159,6607,2,0,1
1.5686761271420409,4568,0,0,1
-1.3827742355747454,1209,0,1,1
-1.4558207266411576,8082,2,1,0
0.8332288944929176,9321,2,1,0
-1.2421390667366947,5745,1,1,0
-0.5550816888298682,7639,0,0,1
-1.5561149371110221,6468,1,1,1
-0.3842769409457085,8282,0,1,0
1.3682530944839717,1191,2,0,0
1.669514740705702,2934,2,1,1
1.6017468922955984,7999,0,0,1
1.698285410536105,3743,2,1,1
0.17511446587655627,8769,2,0,1
1.6933306532647137,8108,0,1,0
-0.12323221188091973,8369,1,1,0
0.9448039640076609,1815,2,1,0
-0.05655316965841008,3784,0,0,1
0.9092868305212186,4762,0,0,1
1.235398066062334,9288,0,1,1
-0.8393496891110539,7730,2,0,1
-0.0406207651918493,6434,2,0,0
1.0853219828128697,4733,0,0,1
1.5678422945553394,2829,1,1,1
0.15792097576233957,6308,0,0,1
0.6135794740918966,9856,2,1,1
0.2884192211703251,5576,2,0,1
0.5914450090630933,2250,2,0,0
0.6236957239867547,2616,2,1,1
0.8084895640279723,9218,2,0,1
1.4588927640119451,9860,0,1,1
-0.326501301219218,1015,2,1,0
-0.09353123296618052,7096,0,0,0
-1.5678712874656728,8889,2,0,0
-0.46911423825878407,3051,2,0,1
0.6314758644031677,3361,2,1,1
-0.6992589233667997,4137,1,1,1
0.9121191048446428,6553,1,0,1
-1.4440643762865069,8627,1,0,1
-0.7386351167586375,8501,1,0,1
0.5605863121767355,7126,1,0,0
1.2315872444057563,2780,2,1,1
0.1488797496982705,1205,2,0,1
-0.37885358354294757,6940,0,0,1
-1.63465369736422,4982,0,1,1
-0.3336956914714194,5712,0,0,1
-0.9646313124683533,6589,2,1,1
0.8477830632789801,4818,0,1,1
-0.010017041906383388,9626,2,0,1
-0.7782731749297698,1402,0,0,0
-0.38885268340496304,8203,1,0,0
-0.38907320111384275,1101,2,0,1
-1.4250033768252146,9200,2,1,0
-0.5902060251473683,2490,0,0,1
-1.3732437358440994,1442,0,0,0
-1.1975049042237558,5225,0,1,1
0.8191571081950295,1314,2,0,0
1.2580700430065315,8481,2,1,0
0.461904637453054,6733,0,0,1
0.5376938175236579,1515,2,1,0
1.618781885306558,1561,0,0,0
0.7667496964440802,1667,0,1,1
1.5090881074956948,3689,2,0,0
1.2725553000085694,8704,0,0,1
-0.1849633880104408,6074,0,1,1
-0.2537649131809179,2900,0,0,0
0.06730197976957353,9374,2,0,1
-0.7242945745030522,8007,1,0,0
-1.4683764536904975,7418,0,0,1
1.7178770307343891,9001,1,0,0
1.0633942531361409,2787,0,1,0
0.44971414285904615,6744,0,0,0
1.3153564090664451,3922,1,0,0
1.1526281222700063,9115,0,0,1
1.547092956385437,3689,2,0,1
1.1135620319062804,8153,1,0,1
